GENDER,BIRTH_YEAR,PRIOR_EXP,DEPTH,PROCAST,APTITUDE,CONCEPT,ANXIETY,INTEREST,EXTRAVERSION,AGREEABLENESS,CONSCIENTIOUSNESS,NEUROTICISM,OPENNESS
1,1988,1,64.3202618817496,44.3969511951963,52.4157313005604,-9.01592866868168,55.8639910191351,45.800700897254,159,114,123,94,115
1,1997,2,57.8594495425266,6.7252081334516,17.0357833568761,16.3427046913166,12.7963313621988,87.8190351945908,90,125,125,90,190
1,1997,3,69.8356977024109,-5.96356910581015,1.163030261552,21.7374075791509,.888567391391723,74.3421503618839,129,105,117,67,196
1,1997,1,95.0127388478973,8.42832052193278,3.04505530114472,27.5326928361407,1.1371675246274,91.0581185947565,125,200,200,0,100
1,1998,2,42.8339985672468,8.58357180442259,2.98865605282508,14.7816119226365,12.7550107633958,87.728781350932,135,190,155,75,170
1,1997,3,58.2855003480303,-5.35748822610671,1.46229159621174,22.9442523068205,2.78311669005232,76.1529492776448,159,97,109,43,200
1,1997,1,60.2286095887237,22.717268181668,16.3874859988745,-.997515593506687,58.0333459412384,74.6567926765563,58,115,97,153,177
1,1998,3,41.9635729659679,9.88555794201903,12.987712103318,6.41885607813356,42.3085330225132,77.8765115575666,110,90,165,150,90
1,1996,2,63.5452561727296,15.1506879820994,44.2646970758656,20.6250292072757,7.49598948841235,86.9360602946464,74,36,125,60,39
1,1996,1,71.1196442476993,1.08169197397487,23.305202574266,14.2983596681929,44.4814904713104,76.8022182550976,188,92,160,110,101
1,1998,3,41.5658728816631,69.6190891930542,74.8049680389759,-34.5056999812385,71.1038588706679,45.285392592207,153,70,80,98,106
1,1999,1,31.9819111674619,9.04391381581356,5.36556223438568,22.0194600807029,6.81364570702477,83.8159623107275,0,150,110,5,40
1,1997,3,68.5523227360086,45.6862564547998,44.9627373480536,-22.463513754145,76.7540448338129,67.5021817958044,70,160,90,105,100
2,1995,1,75.1727680690967,18.6474627613706,25.2389339986388,-7.07677333254894,26.4382562041729,80.2021680175505,20,140,150,170,120
1,1997,2,35.3215142789682,-4.09637877396011,-.244634860528335,20.9037411264133,1.17865597054463,65.7822509010999,150,119,167,39,113
1,1998,1,36.7529951412223,20.8437453072195,7.24151356745022,9.48606821921312,22.3418757403095,73.26496404741,100,90,60,120,155
1,1991,3,54.1149466948885,30.8031366322784,32.8769429702594,-2.39635259628713,47.8763478904849,74.8075516501832,37,130,107,162,136
1,1993,1,62.1431854516879,-3.72205128731913,1.42885411698341,11.8524059482076,6.53518312218245,60.9376558890204,140,110,170,95,105
1,1998,1,40.1895287510601,2.61128820365996,17.9931440454076,19.1064162701284,8.90080707517241,80.9082921359914,31,159,145,50,100
1,1997,1,96.6807564683411,-3.10010085170207,6.50991495227337,24.8916802922965,8.26167890897164,90.7665879373217,31,22,134,199,162
1,1997,1,74.79789497514,8.31373445693229,1.65843907780862,16.032877287656,6.57160257441104,88.8469516714419,100,105,80,30,115
1,1997,3,46.7005118405395,18.7622799943648,23.3187545162168,-1.82259084848586,60.4589703328435,70.1793494904044,57,125,97,157,145
1,1997,3,85.1380621003951,5.03211238527993,12.308475441638,8.06571981887436,16.3727413172131,85.2718705974423,125,180,180,125,200
1,1997,1,46.4136236449554,18.9195415445416,32.1414624574698,-6.21500469536958,50.5409065966914,65.374134083355,55,120,160,180,80
1,1991,1,55.4909071079783,27.5039597069691,1.1983896152607,-13.1879120818257,12.6672153825206,84.062053776711,90,145,110,60,145
1,1994,2,22.5296113484475,28.5963777405023,12.650535928212,-2.67501613425956,20.0984059466754,29.4996643125407,55,170,165,194,166
1,1997,1,50.753193876697,6.63410235607531,12.3240853753315,11.8507450000812,23.6051553408563,87.6099507693753,133,153,142,56,117
1,1994,1,35.4675703370021,12.6678103921749,17.5387130229406,11.5395986910154,22.0968239224854,86.738768396268,90,60,130,170,120
1,1998,1,35.5523739714283,45.6730891911596,17.9585964494115,-22.0455965094144,9.08588126507021,45.1110275506462,149,136,119,99,86
1,1998,3,60.1309858416857,19.9180876892727,2.34023094029126,-4.78452768797113,33.1240875157732,78.1711761487472,103,41,75,55,115
1,1984,2,92.2170197418432,-3.03953216461785,2.12307114398364,19.5856020445994,7.09951147106853,86.4173530732663,45,160,190,35,120
1,1996,2,82.6626107090356,19.3330777030086,6.24974799555976,-8.19961121016003,56.1024940436747,77.7330274313703,117,121,140,92,122
1,1997,1,38.4499494433726,1.16723842025502,.0767050951907282,20.8395248133731,2.35454859110879,71.0608244740124,70,130,85,20,185
1,1999,1,35.1221743721545,11.2643832875963,30.1574064738983,26.5902308784692,2.63704696744039,87.5160022441316,75,115,40,160,100
1,1995,1,84.3916649274982,14.514975732243,12.3266757452366,-.497454983005997,31.5418573400081,79.3047077562305,137,111,140,87,116
2,1998,3,75.2365183796968,7.05292278830287,22.6539847073995,5.7419969991334,52.0508074083888,88.4254938185511,100,192,175,40,125
2,1999,1,55.2381003971471,-.666252258097285,9.38375047663967,21.5674837552303,16.3437432287687,84.0151610434426,160,145,110,70,190
1,1998,1,59.2271409137163,8.28932373148489,4.49468242130642,16.2629998453285,15.4891822583995,82.0546086269107,5,140,135,50,150
1,1997,3,52.1568266368943,47.0920751625069,21.9676762972916,-28.2593017816813,75.4480478370633,70.8113753346215,110,164,71,144,101
1,1997,2,62.3701612773372,43.122133348357,4.92915741134841,-11.2967404955777,9.37072981198093,47.2843672986624,110,125,50,150,100
2,1992,1,61.9632714640357,3.39475770060492,9.80378378422551,-10.9985366775682,54.3916262311062,67.5109719082543,45,90,115,151,120
1,1994,1,60.5174249513946,-4.46962275142789,.320543859208979,16.6463905113491,2.11511881979415,78.2182033086545,10,20,145,200,145
1,1995,3,41.9585779999257,30.5531090900234,12.8556027518817,-16.673216766153,48.3490710077607,39.693165659385,81,115,102,127,157
1,1993,3,18.4356220856473,36.8316800684179,37.5646749419458,-12.4494439170943,63.5695610716623,43.4925058044345,65,150,127,200,170
1,1994,1,75.9490039886781,14.4626674374344,15.1136679933256,4.03875111882758,45.7389788054085,68.6349922120268,96,165,71,135,142
1,1997,2,56.6206653839397,7.2092957556822,10.1686849428176,7.77996897313282,21.3404255366382,69.9936418092135,34,28,55,72,114
1,1996,3,59.513267902207,10.7538496074811,17.6182402506448,-13.9371665864142,63.4814288881092,54.8956902043935,145,150,170,60,165
1,1998,2,44.247951778608,3.53163512492147,5.93508622243054,8.288504608161,12.1144159811533,80.1704999493552,91,162,130,47,173
1,1976,3,75.1797452004256,3.09116421526877,2.64350772063119,.924278053838399,49.6372285588418,80.348409835227,134,149,162,50,183
1,1998,1,36.2144806421805,36.8717271767942,22.443829626604,-13.7097827331342,35.499599935266,26.6798397167148,105,125,45,85,100
1,1995,1,62.8854338922515,67.8011372984048,78.7868174178605,-34.6620030798548,92.036862512209,62.212544375375,75,170,140,60,24
1,1997,1,55.6231130006329,14.6622334346107,55.8119317349158,18.7194611851442,22.3202699024601,68.7611520283841,70,125,135,40,70
1,1998,1,44.9223061548757,33.0691969318377,42.6129157081124,22.3290328975162,10.492306488629,71.4597416332981,31,107,120,125,59
1,1996,1,84.3517530317066,51.5546521894224,50.1815000354757,5.06838445594183,39.8061802022733,77.0048858034479,99,107,144,32,147
2,1998,3,63.7238147214084,44.0389289549251,49.3983203139961,-10.1138487502313,40.8989686434367,52.3841788879387,142,130,112,36,90
1,1998,3,56.3075004512501,17.0739379136789,17.2865570654641,1.78241081007788,12.5882158106041,42.6918721521582,160,97,66,4,170
1,1994,1,36.707069862787,28.7362774363996,2.43056869850593,10.1642587106752,16.5018905823315,66.0407175050619,100,141,131,75,157
1,1999,1,10.3673859900447,32.1377605837833,45.5142948551886,-14.3362047890514,34.041291554171,42.0529885290825,100,124,93,33,186
1,1999,1,16.1689400339459,35.025776611926,7.2754499061501,-7.54988651011289,33.2107197061963,41.8617944784423,88,116,73,109,102
1,1999,2,44.3640168721002,14.900865462105,2.81820691106965,7.25418618874199,15.6593471299925,80.2542791690796,29,129,88,126,115
1,1998,1,32.5672456833062,53.2716548871426,36.0711699860958,-35.6758371862165,68.7563688392232,25.2347396152835,100,150,150,190,90
1,1999,1,55.8997898153036,-1.04482284227595,5.8541403229225,20.9487445149851,7.05323153882921,64.0993199188728,110,61,128,92,34
1,1997,1,21.908121777621,-4.52402879011056,-2.06925019961624,28.7091484341113,.803602215666327,88.6921119411225,1,65,92,2,103
1,1997,3,34.1489692053675,63.7542528087947,56.894921018208,-7.47275319114833,87.0756488604119,84.6362923777378,100,140,40,40,100
2,1992,1,28.2903335160412,46.8981875570052,27.2035428464983,-25.837081094584,87.1299257308298,57.0387113561673,80,60,60,160,140
1,1998,3,55.9569610390368,46.4488992321865,55.0904342165824,-27.087952628395,88.4237345138456,60.5843139601098,140,100,80,60,140
1,1998,1,71.9870581895338,37.0092109315999,21.9578433141839,-3.4113472407719,73.2667647964918,85.1464031129213,120,80,120,100,140
1,1998,3,54.4818878073205,41.4748773308962,51.0466143709096,-28.4013173737385,76.7739156409562,47.4177458597724,80,100,120,160,40
1,1997,3,73.4203427363838,27.9737127463474,39.7362192851712,-3.18942877583108,67.8258428931338,64.536113226086,40,140,140,140,140
1,1995,3,50.7576065130529,43.2359141686494,42.4430148139997,-20.0631608897204,69.20675147055,54.1268721542981,100,80,80,120,140
1,1998,1,46.3373448200879,46.7191970619469,37.8199084480089,-6.42945468693828,54.8163042538647,84.4298785089471,80,140,60,140,100
1,1994,2,64.8182075392035,50.1408174554541,48.5770074787191,-12.7067916967652,64.2968185912965,65.3292758657617,100,120,60,100,120
1,1997,3,50.7428698863933,43.2443969130651,32.3524679232739,-17.0838109411085,59.8960763222071,66.9010351360652,120,120,80,120,140
1,1997,3,64.6632621976985,38.8865502000351,42.5783724675975,-12.1775625834064,63.5209761718909,62.5655481860392,60,140,100,120,80
1,1993,3,50.7296488942267,35.9691646729219,55.693078831484,-8.72930218837376,59.1495856469389,66.9682961768544,120,160,140,80,160
2,1992,2,73.5910776171963,20.1179333952049,20.0489281797364,.18628219558197,52.3100269031765,86.9375414578519,100,100,120,180,120
1,1997,1,72.3371086319258,32.673370499818,20.6692352471237,-.891894889891727,35.8829809650818,80.7697642929879,60,100,80,160,120
2,1995,1,67.0807545356125,18.0776270300992,22.8147915339092,3.03075948322147,49.8981189504252,81.6283596164184,40,120,120,180,120
1,1984,2,91.400676065131,20.2347701056747,38.0514592865936,5.79177337865731,33.020966892731,86.6499709518588,40,140,140,60,120
1,1997,3,67.6182492765619,18.208118943609,24.8394156045414,-10.2274623182052,36.0893439516711,68.788648593186,120,160,140,80,80
1,1994,1,70.2991785472703,36.3158106884376,30.0951141233841,-1.63540475352322,43.1371690902242,67.0003299367682,120,160,80,120,80
1,1998,2,72.0255919486537,45.9650623157678,56.9726089045069,6.72844833255912,30.7124421354113,74.0715799654659,60,100,80,100,100
1,1993,2,63.772199439233,27.3292741471084,23.3292027754352,11.4788882285915,41.3519143801916,82.9784121706575,40,180,120,120,140
1,1997,2,71.6149264882977,16.6843043469322,19.6317122542989,4.83518795935157,24.3614315578396,73.9526285709924,80,100,100,100,180
1,1994,1,49.9241766153495,22.0752932677765,18.1149612310463,4.39956973831183,25.3990681388476,85.5431258300041,100,80,140,120,100
1,1995,1,47.2202080605452,20.3012027451939,38.5619282995847,16.1428159506731,19.3478172150067,83.7188188090044,80,80,120,60,100
1,1997,1,68.9675441355205,12.7136833319655,18.5647949342667,12.8236070289563,19.0391520059357,87.1339298882809,120,160,120,40,160
1,1997,3,93.3316156576075,6.77013500994946,25.6459789244352,20.5249225933303,17.7040158488093,88.760268557496,140,80,100,80,80
1,1997,3,38.0958955457719,47.4659444453539,63.5466770461133,-34.8865384309968,71.9622703102202,13.2753510162597,160,60,20,140,80
2,1998,1,58.1960414095146,32.7700633834052,27.1082520121982,-20.9654798239126,61.1814314934047,57.793777246256,80,120,180,180,100
1,1998,3,32.5965640423552,46.0535929429862,51.3716267578001,-29.3284125902611,67.4967447569797,19.5584888737324,80,140,60,120,180
1,1997,2,48.7590066349092,18.5168556993836,29.4164222064395,1.09724204913498,61.9342570122701,62.6624421949826,40,60,140,120,100
1,1998,1,30.1795942612412,28.5741629670799,18.9034980573816,.650130931018595,41.7818267680347,68.0364835076351,40,120,120,80,120
1,1998,1,39.512247891861,46.9123594188142,42.2577997416516,-17.3390819435815,53.3000209595347,43.195648139034,60,100,140,120,120
2,1998,1,59.6217037097187,40.6856681032957,42.1564263490901,-1.37743020125302,52.8917017186039,68.8488434232466,60,120,100,140,120
1,1997,1,44.9962574480027,53.2216528827725,54.145015182574,-25.4421510733251,53.8804670621232,28.3829986061994,120,140,80,140,80
1,1993,1,49.1033053873991,38.6502019577555,45.9087977196591,-10.0916838230441,44.5987032653798,45.772561865651,120,180,140,140,80
1,1996,1,66.7259130728684,27.1684959640655,46.7030047161304,-6.74407542437328,47.0264930101145,62.8638640544665,60,160,120,120,120
1,1998,1,26.5988715569261,41.1031660366373,45.6377337901457,-.629181324911471,40.6062301916071,59.9825084015351,100,120,80,100,120
1,1998,1,66.5690641858059,37.2296541549906,53.9323405270528,-.715916372460757,45.2484727326631,61.7361026688701,120,120,120,100,100
2,1998,1,62.7094190942757,20.1043535151219,40.2862569629783,1.00067975800528,36.4405117719792,68.4187081154113,120,140,140,140,80
1,1997,1,48.1358549941961,13.8895634595223,56.8350247797169,-3.48178622837957,41.8703047088617,59.5601918227231,40,140,120,140,140
1,1997,1,71.2606158112221,59.8956184599154,95.2772410880942,-30.6374286822026,47.4358661144779,12.5311342112823,120,80,100,20,100
1,1988,1,54.0479065049033,52.8598533424551,34.8532382158945,-4.52092632643594,37.0401427959984,51.3645473390116,40,120,60,60,100
2,1999,1,40.752723791423,36.5097965394936,55.4011747238068,-.134544596875567,36.9986076664838,55.6526917697834,40,120,80,160,60
1,1998,1,73.0873398559438,24.3341903446509,38.5066016601665,9.92565220717347,34.9185771926045,70.2538008969844,80,120,100,120,100
1,1995,2,55.7263283299825,16.2744908411857,37.2874105629184,9.84697860237177,30.7643069574369,60.4065480118642,100,120,100,100,120
1,1998,1,65.2607691580971,13.8328515936366,24.890192934308,11.8068636360645,25.8688339535053,70.3827939342935,80,140,160,60,160
1,1996,2,60.1076578942095,26.157351166701,42.7191724666301,17.4263197813118,22.3437439277286,86.6547749583325,20,80,120,160,140
1,1997,3,80.2086777087189,28.6885301446294,21.5166270130995,10.6721044226496,44.7570007235102,83.2253934322919,180,160,140,100,100
1,1998,1,63.1568475744622,47.4177502094158,56.408791808552,-4.17862152242149,37.2672939547833,72.3957839803821,180,60,100,80,140
1,1998,1,37.111209811162,29.0755330993021,24.6307883053702,3.79040590318508,20.3398485292848,67.995571747895,120,140,60,80,140
1,1999,1,51.9066115946907,17.3642605322437,25.8511598543369,6.94976683364358,26.4271288876542,52.6572583449123,80,120,100,120,80
2,1998,1,65.3396618350281,21.944438125003,22.7677099279542,2.03047965625927,23.6565468567025,68.9249298427457,120,180,120,160,120
2,1997,3,47.807405322849,30.6784324008288,63.1578795837027,7.12355299770109,20.5920660544156,58.6112061002488,160,80,80,80,140
1,1997,1,61.1993978098116,16.6602442357579,30.0639575914848,17.3402202425543,26.8081596601091,87.4199907383755,60,60,80,120,80
1,1998,1,55.9658896060621,45.313497601662,23.8766206870316,8.2376187742683,24.9361704143833,77.010005882416,60,140,120,140,120
1,1998,1,30.5145830755678,50.223904953538,20.6301531495879,7.34356805991984,24.3086526936902,61.8935349819687,80,120,80,20,160
1,1997,1,-170.115760110516,3.04743293358953,-170.232424770258,5.26710841498319,19.2229313120019,86.3734160935135,40,100,80,140,60
1,1998,1,75.8327297120025,10.3634446158412,40.4222947517945,14.1007226272699,18.1703737333807,65.2043041726483,100,140,160,120,160
1,1995,1,44.6665255809575,24.5920232747187,36.098996826205,16.6741125381401,18.9662176500736,78.6064503101443,140,120,120,40,120
2,1998,1,78.3850740302388,7.82576704374728,22.2531319309505,17.7043669316956,22.478035157473,83.4257991265343,100,120,140,80,160
2,1997,2,87.8676511509697,8.28721174672769,19.5133133372169,20.2242187532729,17.6058122780629,88.8236879952412,120,140,180,20,80
1,1997,1,96.4701294293044,10.1159734472971,20.1369291041704,20.0212601898796,17.6645931595355,89.0948917848698,140,120,180,20,100
1,1998,1,49.6401878158021,57.7700275029811,76.1035220880424,-32.5285941642547,73.4405667067495,33.322226490713,100,120,100,100,120
1,1998,3,74.7842328261025,41.5752117785005,61.2100395392522,-17.7553162110585,70.9575083684154,55.0491820621267,100,100,80,60,100
1,1998,3,40.12105059089,60.0594205650914,59.3133874201871,-15.2217899058427,67.3068346233446,66.0239915364972,60,120,60,100,120
1,1998,1,75.3695322003456,40.9111477019199,25.0656373026506,-.824653134770795,64.012574428044,87.3768036604588,160,160,120,160,60
1,1996,1,49.6648330317481,62.1879202980554,44.5591798868169,-23.7074185839506,58.1484063642805,32.3447602513079,120,120,80,100,180
1,1997,1,63.0038148313844,24.9493440409546,43.3863215158184,4.51672386675674,54.2251075788225,86.2388823544023,120,120,120,60,100
1,1996,2,80.4631674217764,17.0276497558587,32.6525872956238,12.4583050264042,48.7588800943181,88.2990090776582,80,140,180,100,60
1,1997,3,68.3921796202302,16.1474011205024,19.8444888096231,15.3795229165564,47.8847178611277,88.892585232328,80,160,100,20,120
1,1995,2,79.3648566412747,27.7161496980042,65.7722865603061,2.76416797825166,61.1672079631455,78.8119996323575,80,160,140,80,100
1,1997,1,60.3824104908853,39.4464191398291,55.6451480893562,-5.61754367174085,54.9402873131871,81.8684405416902,100,180,140,80,180
1,1997,1,42.4683017524528,37.0361803106425,40.6942049954342,-11.1229238932346,49.6498633091459,62.3460340476764,120,160,100,160,120
1,1995,1,61.0755513308969,26.6584730674393,46.9070554432773,-16.9942906439005,54.3103957194661,49.6508745394159,80,140,120,140,120
1,1998,3,48.3378929694027,32.1124348334287,53.1661588216244,-13.5683086674626,53.8921779349641,45.2320910515253,100,160,160,60,100
1,1996,1,68.818685359106,42.9430544129163,60.6980959886517,-12.0264458241629,54.5654581138259,53.9500693780647,100,120,120,100,100
1,1997,1,71.3509886957812,30.4205799899861,39.5631593854171,-8.38427813407013,57.6474622375042,58.4242831890748,100,120,140,80,120
1,1997,1,50.6488884479095,38.6060700627251,59.3078710945956,-11.0170691120925,46.1070163608975,49.3277754643953,120,140,120,60,120
1,1998,1,57.0274132211991,23.4966798627924,28.2738703451954,3.39331690502578,43.2852078774006,71.8053949321664,120,160,100,60,100
1,1996,3,55.8745255250015,39.7974634291682,37.910366566486,-23.0990499888054,40.7987922714031,61.9223966358183,100,100,100,100,100
1,1996,1,76.5564192978831,36.8860355739461,56.2421130218891,1.56411829144732,47.4800187314398,85.4310325013145,140,120,140,80,140
1,1998,1,64.8966604869399,27.232014808014,52.1775703348115,-1.20429615694466,47.1801856230334,77.6383943799347,100,140,140,120,60
2,1997,1,56.9396678849677,33.8533849548595,20.4827444369564,10.6056858119491,43.2827531126571,83.4233684369196,160,60,140,0,160
2,1998,3,58.2342948883824,42.262915592696,52.9174221274648,-29.8729290052475,50.2647586818242,18.4276887182884,120,180,120,60,100
2,1995,3,81.0709309616594,35.1021204400642,21.8179712721605,8.70433785634632,44.8766983847406,85.9857725412149,140,120,140,40,100
1,1998,1,70.5027093027736,11.4985655794629,19.8892033743729,10.9270401322457,33.8396311933277,72.0666761543025,80,80,100,20,100
1,1996,1,80.298713631847,31.0078181578441,56.5677499741949,13.0776491112884,27.2871906057982,72.2771660842505,120,120,60,20,80
1,1996,3,76.3643717781104,30.5764327525912,24.550958203881,9.2025555537314,36.0731030837258,74.0407853092217,60,80,120,100,40
1,1991,3,49.955882296013,15.9143389644614,36.0283184005433,1.77827140783611,28.0957292274001,67.8368023539726,60,100,120,60,80
1,1979,2,86.5024858555575,6.92566158847359,19.5499496903668,19.319778866413,25.182638769181,88.9857235342244,140,120,160,40,80
1,1997,1,75.4229245651689,47.5682738737591,66.1874787984589,-3.99205043219654,44.7556029699217,78.7582295320452,100,100,100,80,100
1,1997,3,73.8696327454971,37.4861574308396,36.0985047762767,-18.7159879847141,43.405809382406,73.1572708985174,140,180,140,80,120
1,1998,3,65.0468769329296,20.1259826091929,19.6037660602321,4.48125674864782,19.6708599029227,69.2414179060802,120,100,120,100,100
1,1996,3,77.0180100621619,8.80150581448694,18.6326897803696,10.0674452952055,19.3669618065834,86.966408901683,100,100,180,20,100
1,1997,2,96.5702333788663,9.64992609263942,19.840620823109,11.2109163238617,19.1360884481252,87.7945591889961,20,60,140,40,120
1,1997,1,59.1460071087033,29.9003601478616,20.0782595284908,14.9759636194906,18.4860465449369,75.4509621062008,100,120,100,80,120
1,1998,2,92.4510961534204,6.09015151949525,19.6080709996385,20.4373523436241,17.4928829252213,88.9915591399484,120,180,140,20,160
